[ 3904.046171] tgid, 2039, delta_vrun, 4910, delta_rrun, 5813, prio, 120
[ 3904.285648] tgid, 1, delta_vrun, 22270, delta_rrun, 22270, prio, 120
[ 3904.551824] tgid, 2739, delta_vrun, 152574, delta_rrun, 154248, prio, 120
[ 3905.728034] tgid, 2039, delta_vrun, 1827, delta_rrun, 1827, prio, 120
[ 3906.118198] tgid, 51, delta_vrun, 13552, delta_rrun, 13552, prio, 120
[ 3906.434267] tgid, 2415, delta_vrun, 269, delta_rrun, 2516, prio, 110
[ 3906.484760] tgid, 2415, delta_vrun, 19311, delta_rrun, 187376, prio, 110
[ 3906.874311] tgid, 2415, delta_vrun, 383, delta_rrun, 3572, prio, 110
[ 3908.173346] tgid, 2739, delta_vrun, 3551, delta_rrun, 3551, prio, 120
[ 3908.598513] tgid, 2415, delta_vrun, 321, delta_rrun, 42783, prio, 110
[ 3909.270956] tgid, 2039, delta_vrun, 9309, delta_rrun, 9309, prio, 120
[ 3910.478546] tgid, 2739, delta_vrun, 108128, delta_rrun, 108128, prio, 120
[ 3912.778663] tgid, 2739, delta_vrun, 10729, delta_rrun, 10729, prio, 120
[ 3912.903156] tgid, 2415, delta_vrun, 1427, delta_rrun, 14135, prio, 110
[ 3913.616864] tgid, 2415, delta_vrun, 489, delta_rrun, 5301, prio, 110
[ 3914.148871] tgid, 2415, delta_vrun, 726, delta_rrun, 6770, prio, 110
[ 3914.286356] tgid, 2739, delta_vrun, 1381, delta_rrun, 1381, prio, 120
[ 3914.336044] tgid, 2415, delta_vrun, 802, delta_rrun, 7486, prio, 110
[ 3914.710419] tgid, 4599, delta_vrun, 77206, delta_rrun, 77206, prio, 120
[ 3915.074495] tgid, 2415, delta_vrun, 1198, delta_rrun, 39063, prio, 110
[ 3915.737007] tgid, 2415, delta_vrun, 493, delta_rrun, 79086, prio, 110
[ 3917.131730] tgid, 2415, delta_vrun, 6821, delta_rrun, 63602, prio, 110
[ 3917.875325] tgid, 2739, delta_vrun, 6471, delta_rrun, 6471, prio, 120
[ 3919.517679] tgid, 2739, delta_vrun, 74913, delta_rrun, 74913, prio, 120
[ 3920.276346] tgid, 1981, delta_vrun, 56321, delta_rrun, 56321, prio, 120
[ 3920.693380] tgid, 2415, delta_vrun, 30601, delta_rrun, 285338, prio, 110
[ 3921.849719] tgid, 2415, delta_vrun, 10163, delta_rrun, 94769, prio, 110
[ 3922.012732] tgid, 2739, delta_vrun, 11634, delta_rrun, 11634, prio, 120
[ 3922.382252] tgid, 2415, delta_vrun, 803, delta_rrun, 7490, prio, 110
[ 3923.848285] tgid, 2739, delta_vrun, 5097, delta_rrun, 5097, prio, 120
[ 3925.876856] tgid, 2415, delta_vrun, 3362, delta_rrun, 56204, prio, 110
[ 3926.751374] tgid, 2739, delta_vrun, 26368, delta_rrun, 115779, prio, 120
[ 3929.010381] tgid, 2415, delta_vrun, 385, delta_rrun, 229911, prio, 110
[ 3929.407684] tgid, 2739, delta_vrun, 2833, delta_rrun, 2833, prio, 120
[ 3929.684912] tgid, 2415, delta_vrun, 15345, delta_rrun, 143083, prio, 110
[ 3931.901073] tgid, 2415, delta_vrun, 9026, delta_rrun, 84162, prio, 110
[ 3932.940431] tgid, 2415, delta_vrun, 809, delta_rrun, 7546, prio, 110
[ 3933.541384] tgid, 2739, delta_vrun, 29632, delta_rrun, 29632, prio, 120
[ 3934.214498] tgid, 2415, delta_vrun, 9646, delta_rrun, 89949, prio, 110
[ 3934.966915] tgid, 2739, delta_vrun, 2098, delta_rrun, 2098, prio, 120
[ 3937.912833] tgid, 2739, delta_vrun, 11727, delta_rrun, 11727, prio, 120
